Name,Type,Address,Contact & Website,Startups Incubated,Notable Portfolio,Equity Taken,Fee,Funding Guarantee,Investor Access,Conf. Hall Capacity,Call Booths,Seating Scalability,Program Structure,Brand Value,Ideal Stage,Founder Freedom,Time Lock-in
thinQbate,Private Micro-VC,"Marol, Andheri East",info@thinqbate.com,29+ Investments,"HealthTech, SaaS",5–15%,NIL,Yes,7,20,Yes,Low,Conveyor Belt Model,7,Pre-Seed,9,No
DJSCE IIC,Academic (MoE Cell),Vile Parle West,djsce.ac.in,Academic Prototypes,"Healthcare, IT",NIL,NIL,No,4,100+,No,Low,Academic,5,Student / Idea,9,No
Thakur Incubation Centre,Academic (MSME Host),"Thakur Village, Kandivali East",022-67308106 | tcetmumbai.in,Academic Prototypes,Grassroots Hardware,NIL,NIL,No,3,100+,No,High,Project-based,5,Student / Idea,9,No
SFIT IIC (St. Francis),Academic (MoE Cell),"Mt. Poinsur, Borivali West",022-28928585 | sfit.ac.in,Student Prototypes,Embedded Systems,NIL,NIL,No,3,100+,No,Low,Hackathon/Academic,4,Student / Idea,9,No
Dalmia Lions IIC,Academic (College IIC),Malad West,dalmialionscollege.ac.in,Student Prototypes,Commerce Concepts,NIL,NIL,No,3,100+,No,Low,Academic,4,Student / Idea,9,No
IES Innovation & Incubation Centre,Academic (College IIC),"IES MCRC Campus, Bandra West",mcrc.ies.edu,20+ Innovative Projects,Early Academic Prototypes,NIL,NIL,Grants / Pitch-based,5,50+,No,Low,Academic & Fab-Lab Prototyping,6,Student / Idea,9,No
Amity Innovation Incubator,Virtual / Academic Incubator,"Amity Global Business School, Malad West",info@aii.amity.edu,Student Prototypes,Tech & Business Services,NIL,NIL,Amity Innovation Fund Access,6,50+,No,High,Virtual Incubation,7,Student / Idea,9,No
MET Incubation Centre,Academic / Trust Incubator,"Bhujbal Knowledge City, Bandra West",communications@met.edu | met.edu,Recently Launched (Nov 2023),Student & Faculty Prototypes,NIL,NIL,No (Mentorship/Network Focus),6,50+,No,High,Academic / Idea Validation,6,Student / Idea,9,No
CIBA (Centre for Incubation and Business Acceleration),Govt-Backed Incubator (DST),"Sector 9A, Vashi, Navi Mumbai",mumbai@ciba.org.in | cibamumbai.org.in,100+ Incubated,"Tech, DeepTech & Social Enterprises",0–2%,Subsidized,Grants (NIDHI Seed Funding up to ₹40L),8,50+,Yes,Medium,Structured / Seed-based,8,Idea → Pre-Seed,7,Yes
CETIBA (India SME Forum),Govt-Backed Incubator (MSME),"Veera Desai Road, Andheri West",info@indiasmeforum.org | indiasmeforum.org,SME & Tech Startups,Sector Agnostic / SME Innovations,Deal-based,Subsidized,Grants (Up to ₹1Cr Seed Capital),8,50+,Yes,Medium,Up to 3-Year Incubation,8,Idea → Pre-Seed,7,Yes
KG Mittal College Incubation Centre,Academic (College IIC),"Nahar Nagar, Malad West",enquiry@kgmittalcollege.edu.in | kgmittalcollege.edu.in,Student Prototypes,Academic Concepts,NIL,NIL,No (Grants Guidance),3,50+,No,Low,6-Month Academic Incubation,4,Student / Idea,9,No
AIC-NIFIE (IIM Mumbai),Govt-Backed (NITI Aayog),"IIM Mumbai Campus, Powai",aic-nifie.com,Recently Launched (Spark Cohort),Supply Chain & DeepTech,0–2%,Subsidized,Grants (Startup India),8,100+ (Campus),Limited,Medium,Spark Pre-incubation & Incubation,9,Idea → Pre-Seed,7,Yes
SPJIMR FinNovate Accelerator,B-School FinTech Accelerator,"SPJIMR Campus, Andheri West",spjimr.org,Early-traction FinTechs,FinTech / TechFin MVPs,NIL (Equity-Free),NIL,"Up to $600,000 in Credits",9,100+ (Campus),Yes,Medium,Intensive Workshops / 1-on-1 Mentoring,9,MVP / Early-Traction,7,Yes
PTVAIM COEI,Academic Incubator (MoE IIC),"PTVAIM Campus, Vile Parle East",admin@ptvaim.com | ptvaim.ac.in,15+ Graduated,Academic Prototypes,NIL,NIL,Seed Fund for Pitch Winners,6,50+,No,Low,Pre-incubation & Incubation,6,Student / Idea,9,No
